,ref,creatorUrl,totalBytes,url,downloadCount,title,viewCount,voteCount,tags,size
454,hmavrodiev/london-bike-sharing-dataset,hmavrodiev,169271,https://www.kaggle.com/datasets/hmavrodiev/london-bike-sharing-dataset,20791,London bike sharing dataset,181263,383,"[transportation, investing]",165KB
846,justinas/housing-in-london,justinas,173456,https://www.kaggle.com/datasets/justinas/housing-in-london,11213,Housing in London,78776,220,"[cities and urban areas, housing, real estate, social science, social issues and advocacy]",169KB
221,themrityunjaypathak/covid-cases-and-deaths-worldwide,themrityunjaypathak,7919,https://www.kaggle.com/datasets/themrityunjaypathak/covid-cases-and-deaths-worldwide,17652,Covid Cases and Deaths WorldWide😷,80442,532,"[law, exploratory data analysis, data visualization, data analytics, covid19, python]",8KB
586,deepu1109/star-dataset,deepu1109,3238,https://www.kaggle.com/datasets/deepu1109/star-dataset,9449,Star dataset to predict star types,85336,216,"[earth and nature, astronomy, physics, artificial intelligence, classification, deep learning]",3KB
1053,danofer/zipcodes-county-fips-crosswalk,danofer,188440,https://www.kaggle.com/datasets/danofer/zipcodes-county-fips-crosswalk,11460,US Zipcodes to County State to FIPS Crosswalk,86731,118,"[united states, north america, geography, law, demographics, geospatial analysis]",184KB
353,uciml/german-credit,del=8f083d53c110d6dc,11160,https://www.kaggle.com/datasets/uciml/german-credit,41143,German Credit Risk,353639,366,[lending],11KB
297,iamsouravbanerjee/world-population-dataset,iamsouravbanerjee,16061,https://www.kaggle.com/datasets/iamsouravbanerjee/world-population-dataset,26309,World Population Dataset,123785,499,"[people, people and society, social science, beginner, exploratory data analysis, tabular]",16KB
1716,dorbicycle/world-foodfeed-production,dorbicycle,894652,https://www.kaggle.com/datasets/dorbicycle/world-foodfeed-production,14505,Who eats the food we grow?,118618,417,"[animals, social science, agriculture]",874KB
266,shivam2503/diamonds,shivam2503,750893,https://www.kaggle.com/datasets/shivam2503/diamonds,69357,Diamonds,403428,929,"[clothing and accessories, finance]",733KB
336,prathamtripathi/drug-classification,prathamtripathi,1720,https://www.kaggle.com/datasets/prathamtripathi/drug-classification,22258,Drug Classification,171475,267,"[health, classification, binary classification, drugs and medications, heart conditions]",2KB
565,muratkokludataset/date-fruit-datasets,muratkokludataset,418144,https://www.kaggle.com/datasets/muratkokludataset/date-fruit-datasets,17502,Date Fruit Datasets,165540,1962,"[earth and nature, agriculture, computer vision, classification, deep learning, image]",408KB
1080,mylesoneill/game-of-thrones,mylesoneill,67721,https://www.kaggle.com/datasets/mylesoneill/game-of-thrones,39185,Game of Thrones,346739,883,[literature],66KB
1416,samdeeplearning/deepnlp,samdeeplearning,239413,https://www.kaggle.com/datasets/samdeeplearning/deepnlp,8792,Deep-NLP,99122,211,"[languages, earth and nature, education, linguistics, psychology]",234KB
360,uciml/indian-liver-patient-records,crawford,7865,https://www.kaggle.com/datasets/uciml/indian-liver-patient-records,27199,Indian Liver Patient Records,183571,378,"[healthcare, health, medicine, health conditions, cancer]",8KB
